Country/Territory;Code;1996;1996;1996;1996;1996;1996;1998;1998;1998;1998;1998;1998;2000;2000;2000;2000;2000;2000;2002;2002;2002;2002;2002;2002;2003;2003;2003;2003;2003;2003;2004;2004;2004;2004;2004;2004;2005;2005;2005;2005;2005;2005;2006;2006;2006;2006;2006;2006;2007;2007;2007;2007;2007;2007;2008;2008;2008;2008;2008;2008;2009;2009;2009;2009;2009;2009;2010;2010;2010;2010;2010;2010;2011;2011;2011;2011;2011;2011;2012;2012;2012;2012;2012;2012;2013;2013;2013;2013;2013;2013;2014;2014;2014;2014;2014;2014;2015;2015;2015;2015;2015;2015;2016;2016;2016;2016;2016;2016;2017;2017;2017;2017;2017;2017;2018;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022
Indicator;;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper
Aruba;ABW;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1,28;0,41;1,00;88,06;72,14;95,52;1,29;0,31;1,00;88,24;75,00;95,59;1,28;0,44;1,00;87,80;69,27;98,05;1,25;0,47;1,00;87,38;68,45;97,57;1,27;0,45;1,00;86,41;69,42;98,06;1,50;0,32;2,00;89,95;77,99;98,09;1,25;0,34;2,00;85,65;72,25;96,17;1,24;0,33;2,00;85,31;72,51;96,21;1,25;0,31;2,00;85,78;71,56;95,26;1,22;0,30;2,00;85,31;72,04;94,79;0,89;0,35;2,00;75,48;65,38;89,42;0,85;0,33;2,00;75,71;65,71;87,14;0,85;0,32;2,00;76,67;65,71;88,57;0,88;0,33;2,00;78,10;64,76;90,00;1,01;0,33;2,00;80,00;68,10;91,90;0,99;0,33;2,00;80,00;67,62;91,90;1,08;0,36;2,00;83,81;68,57;94,29;1,08;0,36;2,00;82,86;68,10;95,24;1,11;0,36;2,00;82,08;68,40;96,23
Andorra;ADO;1,41;0,19;1,00;88,52;83,61;91,26;1,40;0,30;1,00;87,98;81,42;95,63;1,38;0,33;1,00;87,98;77,60;97,27;1,37;0,30;1,00;88,11;80,00;94,05;1,35;0,36;1,00;88,11;75,68;97,30;1,50;0,41;1,00;90,05;78,11;99,50;1,29;0,31;1,00;88,24;75,00;95,59;1,54;0,44;1,00;89,76;76,10;100,00;1,50;0,47;1,00;90,29;74,27;99,03;1,53;0,45;1,00;90,78;75,24;99,51;1,54;0,42;1,00;91,87;74,64;99,52;1,51;0,45;1,00;89,95;74,64;99,52;1,50;0,43;1,00;90,52;74,88;99,53;1,52;0,40;1,00;91,47;75,36;99,05;1,53;0,38;1,00;92,42;75,83;99,53;1,71;0,47;1,00;95,19;75,96;100,00;1,74;0,45;1,00;95,71;80,00;100,00;1,81;0,43;1,00;96,67;82,86;100,00;1,88;0,45;1,00;98,10;83,81;100,00;1,88;0,46;1,00;98,57;82,38;100,00;1,85;0,46;1,00;98,10;82,38;100,00;1,75;0,49;1,00;95,71;80,00;100,00;1,75;0,48;1,00;97,14;80,48;100,00;1,50;0,48;1,00;92,45;75,00;100,00
Afghanistan;AFG;-2,18;0,19;1,00;0,00;0,00;1,64;-2,10;0,30;1,00;0,00;0,00;2,73;-2,17;0,33;1,00;0,00;0,00;2,73;-1,59;0,26;2,00;2,16;0,00;8,65;-1,18;0,30;2,00;9,73;1,62;29,19;-0,95;0,24;4,00;16,92;4,48;36,32;-1,23;0,22;4,00;9,31;1,47;21,57;-1,47;0,26;6,00;4,39;0,00;14,15;-1,44;0,31;5,00;4,37;0,49;16,99;-1,53;0,28;6,00;3,40;0,49;13,11;-1,51;0,24;7,00;2,87;0,00;12,44;-1,48;0,23;7,00;3,83;0,48;12,92;-1,47;0,24;7,00;4,74;0,47;13,27;-1,38;0,23;8,00;5,69;0,47;15,17;-1,40;0,22;8,00;6,16;0,47;14,69;-1,36;0,23;8,00;7,21;1,92;16,35;-1,40;0,24;8,00;6,67;1,43;14,76;-1,29;0,23;8,00;7,62;4,29;18,57;-1,39;0,24;8,00;7,14;3,33;15,24;-1,50;0,25;8,00;7,14;1,43;11,90;-1,52;0,25;8,00;6,67;1,43;12,38;-1,61;0,28;7,00;5,24;1,43;11,43;-1,67;0,30;6,00;5,24;0,95;11,43;-1,88;0,28;6,00;1,89;0,00;8,49
Angola;AGO;-0,86;0,17;3,00;21,31;12,02;33,33;-1,06;0,22;3,00;15,85;4,37;25,68;-1,08;0,24;3,00;12,02;3,28;26,78;-1,13;0,20;4,00;9,73;3,78;23,78;-1,12;0,19;5,00;12,43;2,70;23,78;-1,33;0,19;6,00;4,98;1,00;13,43;-1,11;0,20;6,00;12,75;3,92;25,00;-1,38;0,19;8,00;5,37;0,98;13,66;-1,21;0,23;7,00;10,19;1,94;21,84;-1,06;0,23;7,00;14,56;3,88;28,16;-0,95;0,21;8,00;19,14;6,22;34,45;-1,14;0,20;9,00;11,00;3,83;24,40;-1,19;0,20;9,00;9,00;3,32;20,85;-0,99;0,21;8,00;17,54;6,16;30,81;-1,24;0,18;10,00;9,95;3,32;18,01;-1,06;0,20;9,00;14,90;6,73;23,08;-0,93;0,21;8,00;18,10;8,57;31,90;-0,97;0,20;8,00;15,24;7,14;29,05;-0,95;0,21;7,00;17,14;8,10;30,48;-1,01;0,22;7,00;14,76;7,62;29,52;-1,13;0,21;9,00;11,90;6,67;21,90;-1,26;0,23;8,00;9,52;4,76;17,14;-1,13;0,23;8,00;12,38;6,19;24,29;-1,04;0,23;8,00;13,21;8,49;27,36
Anguilla;AIA;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1,06;0,41;1,00;82,09;65,17;91,04;1,55;0,31;1,00;91,18;82,35;99,02;1,54;0,44;1,00;89,76;76,10;100,00;1,50;0,47;1,00;90,29;74,27;99,03;1,53;0,45;1,00;90,78;75,24;99,51;1,54;0,42;1,00;91,87;74,64;99,52;1,51;0,45;1,00;89,95;74,64;99,52;1,50;0,43;1,00;90,52;74,88;99,53;1,52;0,40;1,00;91,47;75,36;99,05;1,53;0,38;1,00;92,42;75,83;99,53;0,95;0,47;1,00;77,40;59,62;95,19;0,96;0,45;1,00;79,05;62,86;93,81;1,28;0,43;1,00;86,67;71,90;99,52;0,78;0,45;1,00;75,71;55,24;91,43;0,77;0,46;1,00;75,71;52,38;91,43;0,76;0,46;1,00;75,24;52,38;91,90;0,91;0,49;1,00;80,00;55,24;94,76;0,92;0,48;1,00;79,52;56,67;95,71;1,22;0,48;1,00;84,43;65,57;98,58
Albania;ALB;-0,69;0,18;2,00;25,68;15,85;38,25;-0,73;0,26;2,00;24,59;9,29;46,45;-0,92;0,28;3,00;19,67;4,37;38,25;-0,62;0,23;4,00;30,27;15,14;47,03;-0,56;0,26;4,00;35,14;16,22;54,05;-0,41;0,27;5,00;44,28;21,89;57,71;-0,70;0,21;6,00;29,90;14,22;44,12;-0,58;0,20;8,00;34,15;20,00;45,85;-0,43;0,22;8,00;41,26;22,82;52,43;-0,37;0,23;8,00;42,72;25,24;56,80;-0,26;0,22;8,00;48,80;32,54;58,85;-0,28;0,22;8,00;44,02;30,62;58,37;-0,20;0,22;8,00;48,34;34,60;60,66;-0,27;0,21;9,00;44,55;31,75;59,24;-0,32;0,21;9,00;44,08;30,33;55,92;-0,05;0,23;8,00;53,37;37,02;65,87;0,03;0,23;8,00;54,29;40,48;66,67;0,03;0,22;7,00;55,24;38,57;67,14;0,10;0,22;7,00;57,62;41,43;67,62;0,08;0,22;7,00;55,24;42,38;68,10;-0,06;0,23;7,00;49,05;35,24;64,76;-0,15;0,26;6,00;48,10;31,43;60,95;-0,04;0,26;6,00;50,95;34,29;66,67;0,07;0,27;6,00;56,60;35,85;68,40
Netherlands Antilles (former);ANT;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1,18;0,41;1,00;85,57;69,15;93,53;1,02;0,31;1,00;80,88;68,63;89,71;0,76;0,44;1,00;75,12;56,59;88,29;0,74;0,47;1,00;75,73;52,91;90,29;0,76;0,45;1,00;75,24;56,80;88,83;0,76;0,42;1,00;74,16;57,42;88,52;0,74;0,45;1,00;74,64;56,46;89,00;0,74;0,43;1,00;73,93;56,87;87,68;0,74;0,40;1,00;72,99;59,24;88,15;0,75;0,38;1,00;72,99;58,77;88,63;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
United Arab Emirates;ARE;0,78;0,17;3,00;77,05;67,76;83,61;0,75;0,22;3,00;77,05;65,03;84,70;0,75;0,24;3,00;77,60;63,39;85,25;0,80;0,20;4,00;76,76;66,49;84,86;0,54;0,21;4,00;68,11;60,54;80,00;0,69;0,20;5,00;74,63;64,18;80,60;0,72;0,19;5,00;73,04;65,69;80,88;0,95;0,20;6,00;79,51;71,22;86,34;0,94;0,23;6,00;79,61;71,36;87,38;0,90;0,24;6,00;78,16;68,45;86,89;1,01;0,22;7,00;79,90;71,29;87,56;0,92;0,23;7,00;77,99;68,90;86,60;1,07;0,21;8,00;81,99;72,99;87,68;1,16;0,21;8,00;83,89;73,93;90,05;1,19;0,21;8,00;83,41;74,41;91,47;1,45;0,22;8,00;88,94;82,69;96,63;1,50;0,22;8,00;90,48;83,81;98,57;1,41;0,21;8,00;90,00;81,90;94,76;1,41;0,21;8,00;89,52;82,38;95,71;1,43;0,21;8,00;90,48;81,90;95,71;1,38;0,22;8,00;89,05;80,48;96,19;1,29;0,24;7,00;87,14;78,10;94,76;1,37;0,23;7,00;89,52;80,48;96,19;1,30;0,25;7,00;88,68;77,36;96,23
