Unnamed: 0,Company,Codice ISO paese,Ultimo anno disp.,"Totale valore della produzione
migl USD"
28.0,BOROUGE PLC,AE,2023.0,5791345.0
64.0,FERTIGLOBE PLC,AE,2023.0,2419500.0
158.0,TIGRIS GOLD REFINERY (FZE),AE,2020.0,971986.396909174
4663.0,NATURELLE LLC,AE,2020.0,132476.513026953
5440.0,NATIONAL PAINTS FACTORIES CO. LTD.,AE,2021.0,100000.0
1417.0,FABRICA DE DETERGENTE,AO,2023.0,500000.0
292.0,FABRICA DE DETERGENTE,AO,2023.0,500000.0
1912.0,CELULOSA ARGENTINA S.A.,AR,2023.0,364807.113549588
2359.0,PROFERTIL S.A.,AR,2023.0,289297.965129372
4083.0,DISAL S.A.,AR,2023.0,156605.87040136
4718.0,RED SURCOS S.A.,AR,2023.0,130298.735766587
5390.0,AGROFINA S.A.,AR,2023.0,106083.965702668
273.0,LENZING AG,AT,2023.0,2905952.40415573
679.0,LAT NITROGEN LINZ GMBH,AT,2022.0,1066273.39489827
797.0,JUNGBUNZLAUER AUSTRIA AG,AT,2022.0,890028.26075324
1062.0,DONAU CHEMIE AKTIENGESELLSCHAFT,AT,2023.0,675638.782745867
1751.0,WERNER & MERTZ GMBH & CO KG,AT,2022.0,397145.721195316
157.0,ORICA LIMITED,AU,2023.0,5147348.85591269
204.0,INCITEC PIVOT LIMITED,AU,2023.0,3910706.44650459
328.0,DULUXGROUP LIMITED,AU,2022.0,2343367.10815966
343.0,NUFARM LTD,AU,2023.0,2251032.75071979
407.0,QGC TRAIN 2 TOLLING NO.2 PTY LTD,AU,2023.0,1882402.0
3515.0,SSL D.O.O. LUKAVAC,BA,2022.0,187558.524200797
6071.0,UNIS GINEX D.D. GORAZDE,BA,2022.0,33741.5236644745
6467.0,HEMIJSKA INDUSTRIJA DESTILACIJA A.D.,BA,2023.0,9972.41832315922
6615.0,TEHNOGAS - TRN A.D.,BA,2023.0,4623.21110069752
6688.0,TEHNOGAS - KAKMUZ A.D.,BA,2023.0,2586.46711707115
2628.0,BERGER PAINTS BANGLADESH LIMITED,BD,2022.0,257212.822828318
5388.0,KEYA COSMETICS LTD,BD,2020.0,106172.49927029
5888.0,RECKITT BENCKISER (BANGLADESH) PLC,BD,2022.0,50196.7979330486
5898.0,LINDE BANGLADESH LIMITED,BD,2022.0,49356.3130853465
5924.0,ACI FORMULATIONS LIMITED,BD,2023.0,46795.1610746607
112.0,BASF ANTWERPEN,BE,2023.0,6938219.65878773
253.0,TESSENDERLO GROUP NV,BE,2023.0,3238977.45361328
358.0,ESTEE LAUDER,BE,2023.0,2153610.43194771
369.0,VYNOVA BELGIUM,BE,2022.0,2091267.91509114
453.0,PRAYON,BE,2022.0,1645605.15365839
1049.0,AGROPOLYCHIM,BG,2022.0,684803.959415853
2254.0,SOLVAY SODI,BG,2022.0,305384.746190071
608.0,HIGH PROTEIN,BG,2022.0,211460.983963251
4531.0,FICOSOTA,BG,2022.0,137253.097063243
6265.0,AROMA AD,BG,2023.0,20488.1353611946
2712.0,GULF PETROCHEMICAL INDUSTRIES COMPANY,BH,2021.0,250000.0
206.0,SA SOCIETE BENINOISE DE PEINTURES ET COLORANTS,BJ,2023.0,3893358.78062993
32.0,AXALTA COATING SYSTEMS LTD,BM,2023.0,5184100.0
936.0,CHINNEY ALLIANCE GROUP LIMITED,BM,2023.0,766302.762421131
1508.0,WONG'S KONG KING INTERNATIONAL (HOLDINGS) LIMITED,BM,2023.0,467573.668559074
425.0,TEAM TANKERS INTERNATIONAL LTD.,BM,2019.0,325603.0
3996.0,CHIA TAI ENTERPRISES INTERNATIONAL LIMITED,BM,2022.0,160838.0
5791.0,"TIGRE S.A. TUBOS, CONEXIONES Y CABLES",BO,2022.0,59809.9844319969
47.0,BRASKEM S.A.,BR,2023.0,14943706.7880332
137.0,YARA BRASIL FERTILIZANTES S/A,BR,2022.0,5708289.07321393
29.0,NATURA & CO HOLDING S.A.,BR,2023.0,5572221.484546
255.0,NATURA COSMETICOS S.A.,BR,2023.0,3171079.45285696
372.0,BAYER S.A.,BR,2019.0,2058182.87722066
2615.0,ENGEN BOTSWANA LIMITED,BW,2023.0,258421.956063032
497.0,ENGEN BOTSWANA LIMITED,BW,2023.0,258421.956063032
1068.0,OTKRYTOE AKTSIONERNOE OBSHCHESTVO GRODNO AZOT,BY,2020.0,673221.131264269
1819.0,OTKRYTOE AKTSIONERNOE OBSCHESTVO MOGILEVKHIMVOLOKNO,BY,2023.0,384569.942346513
366.0,OTKRYTOE AKTSIONERNOE OBSCHESTVO MOGILEVKHIMVOLOKNO,BY,2023.0,384569.942346513
1821.0,OTKRYTOE AKTSIONERNOE OBSHCHESTVO GOMEL'SKII KHIMICHESKII ZAVOD,BY,2020.0,384156.030079722
1837.0,OTKRYTOE AKTSIONERNOE OBSHCHESTVO MOGILEVKHIMVOLOKNO,BY,2020.0,380683.231648922
217.0,METHANEX CORPORATION,CA,2023.0,3723475.0
