Country/Territory;Code;1996;1996;1996;1996;1996;1996;1998;1998;1998;1998;1998;1998;2000;2000;2000;2000;2000;2000;2002;2002;2002;2002;2002;2002;2003;2003;2003;2003;2003;2003;2004;2004;2004;2004;2004;2004;2005;2005;2005;2005;2005;2005;2006;2006;2006;2006;2006;2006;2007;2007;2007;2007;2007;2007;2008;2008;2008;2008;2008;2008;2009;2009;2009;2009;2009;2009;2010;2010;2010;2010;2010;2010;2011;2011;2011;2011;2011;2011;2012;2012;2012;2012;2012;2012;2013;2013;2013;2013;2013;2013;2014;2014;2014;2014;2014;2014;2015;2015;2015;2015;2015;2015;2016;2016;2016;2016;2016;2016;2017;2017;2017;2017;2017;2017;2018;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022
Indicator;;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper;Estimate;StdErr;NumSrc;Rank;Lower;Upper
Aruba;ABW;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,92;0,35;1,00;80,77;60,58;91,83;0,85;0,37;1,00;77,99;57,89;90,91;0,81;0,41;1,00;72,73;55,98;90,43;0,83;0,38;1,00;75,12;57,89;89,95;0,85;0,36;1,00;76,44;58,65;89,90;1,43;0,23;2,00;89,57;82,94;96,68;1,42;0,23;3,00;89,57;82,94;96,21;1,32;0,22;3,00;88,26;78,40;92,96;1,31;0,23;3,00;87,32;77,93;92,49;1,29;0,23;3,00;87,32;77,00;92,49;1,04;0,28;3,00;81,73;72,60;88,46;1,23;0,26;3,00;85,24;75,71;91,43;1,23;0,25;3,00;86,19;78,10;91,90;1,29;0,22;3,00;87,14;78,57;93,33;1,26;0,21;3,00;86,19;77,62;91,43;1,23;0,21;3,00;85,71;78,57;91,43;1,27;0,18;3,00;86,67;80,95;91,43;1,25;0,20;3,00;86,19;81,43;91,43;1,28;0,21;3,00;87,26;79,72;92,92
Andorra;ADO;1,16;0,39;2,00;86,43;63,32;96,98;1,18;0,36;2,00;85,50;65,50;97,00;1,29;0,31;2,00;87,56;70,65;95,52;1,22;0,36;2,00;86,07;67,16;96,02;1,06;0,34;2,00;84,08;64,68;93,03;1,19;0,33;2,00;87,50;68,75;94,71;0,97;0,35;2,00;81,82;60,77;91,39;0,86;0,36;2,00;74,16;59,33;89,95;1,17;0,35;2,00;87,08;67,46;94,74;1,19;0,33;2,00;87,02;69,71;93,75;1,22;0,36;2,00;87,68;67,30;97,16;1,20;0,38;2,00;86,73;66,35;97,16;1,40;0,37;2,00;89,20;72,30;100,00;1,40;0,36;2,00;89,20;72,77;100,00;1,40;0,35;2,00;88,73;72,77;100,00;1,64;0,52;1,00;90,38;76,44;100,00;1,51;0,50;1,00;90,00;71,90;100,00;1,51;0,51;1,00;90,95;73,81;100,00;1,53;0,48;1,00;90,48;75,71;100,00;1,54;0,48;1,00;90,95;75,71;100,00;1,51;0,49;1,00;90,95;73,81;100,00;1,62;0,52;1,00;92,86;75,24;100,00;1,64;0,50;1,00;93,33;76,67;100,00;1,49;0,46;1,00;90,57;75,00;100,00
Afghanistan;AFG;-1,79;0,35;3,00;1,51;0,00;12,56;-1,73;0,33;3,00;2,00;0,00;11,50;-1,78;0,29;3,00;1,49;0,00;9,45;-1,67;0,30;4,00;1,99;0,00;11,44;-1,56;0,30;4,00;2,99;0,00;16,42;-1,69;0,21;6,00;2,40;0,00;6,73;-1,66;0,21;7,00;2,39;0,00;7,66;-1,88;0,20;9,00;0,48;0,00;2,87;-1,85;0,26;8,00;0,48;0,00;5,26;-1,90;0,23;9,00;0,48;0,00;3,85;-1,88;0,18;10,00;0,47;0,00;2,37;-1,87;0,18;10,00;0,47;0,00;2,37;-1,92;0,18;10,00;0,47;0,00;1,41;-1,65;0,17;11,00;1,41;0,00;5,63;-1,61;0,16;12,00;1,88;0,00;6,57;-1,44;0,18;11,00;4,33;0,96;9,62;-1,52;0,18;11,00;4,29;0,95;8,10;-1,52;0,18;11,00;5,71;1,90;9,52;-1,58;0,17;11,00;5,24;1,43;8,57;-1,69;0,16;11,00;4,29;1,43;6,19;-1,74;0,16;11,00;4,29;1,43;5,24;-1,83;0,16;10,00;2,38;0,95;4,76;-1,88;0,17;9,00;1,90;0,48;4,76;-1,66;0,17;9,00;5,19;1,42;7,08
Angola;AGO;-1,63;0,21;6,00;3,52;0,00;10,05;-1,53;0,22;6,00;5,50;0,50;13,50;-1,60;0,19;6,00;2,49;0,00;9,95;-1,63;0,21;7,00;2,49;0,00;8,96;-1,48;0,20;8,00;5,97;0,50;14,43;-1,52;0,19;10,00;5,29;0,00;10,58;-1,46;0,17;11,00;6,22;0,48;11,00;-1,31;0,16;13,00;8,13;2,39;14,35;-1,38;0,17;12,00;6,22;1,44;12,44;-1,38;0,16;13,00;7,21;1,44;11,54;-1,24;0,15;14,00;9,48;3,79;17,06;-1,27;0,14;15,00;8,06;3,32;14,22;-1,28;0,14;15,00;8,92;2,35;14,08;-1,30;0,15;14,00;7,51;2,35;14,55;-1,29;0,14;15,00;7,51;3,76;14,08;-1,07;0,17;12,00;11,54;5,77;23,08;-1,03;0,18;11,00;12,86;6,19;27,14;-1,00;0,20;10,00;16,19;8,10;27,14;-1,04;0,18;9,00;14,76;8,10;23,33;-1,00;0,17;9,00;16,67;8,10;24,29;-1,03;0,17;11,00;15,24;7,62;24,29;-0,95;0,16;10,00;18,10;9,52;26,19;-0,98;0,16;11,00;17,14;9,52;24,29;-1,02;0,16;11,00;16,04;9,43;23,58
Anguilla;AIA;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1,14;0,35;1,00;86,06;67,79;94,71;1,63;0,37;1,00;93,30;82,78;100,00;1,59;0,41;1,00;92,34;77,51;100,00;1,62;0,38;1,00;92,82;81,82;100,00;1,66;0,36;1,00;92,79;83,65;100,00;1,39;0,40;1,00;89,10;69,67;100,00;1,38;0,41;1,00;88,63;68,25;100,00;1,35;0,41;1,00;88,73;68,08;100,00;1,36;0,40;1,00;88,73;69,95;100,00;1,36;0,39;1,00;88,26;71,36;100,00;0,02;0,52;1,00;60,10;20,67;77,40;-0,08;0,50;1,00;54,29;17,62;73,33;-0,12;0,51;1,00;50,95;17,62;74,76;-0,15;0,48;1,00;49,52;17,14;73,81;-0,14;0,48;1,00;50,48;17,14;73,33;0,30;0,49;1,00;60,95;32,86;83,81;0,37;0,52;1,00;63,33;34,76;86,19;0,38;0,50;1,00;63,33;36,19;85,71;0,43;0,46;1,00;63,68;40,09;84,91
Albania;ALB;-0,68;0,25;6,00;28,64;16,58;42,21;-0,93;0,24;6,00;19,50;9,00;35,00;-1,02;0,22;8,00;18,91;6,47;31,84;-0,76;0,21;9,00;26,87;14,93;38,81;-0,72;0,21;9,00;28,36;16,42;42,29;-0,70;0,20;10,00;29,33;16,35;42,31;-0,76;0,19;11,00;28,71;14,83;39,23;-0,70;0,16;13,00;28,23;19,14;41,63;-0,66;0,16;13,00;30,14;20,10;42,11;-0,60;0,16;13,00;34,13;21,63;43,75;-0,49;0,15;13,00;37,91;27,49;47,39;-0,39;0,15;14,00;42,65;31,75;50,24;-0,44;0,14;15,00;41,31;30,05;48,83;-0,52;0,13;16,00;39,91;27,70;46,01;-0,52;0,13;15,00;38,97;27,23;46,01;-0,31;0,14;13,00;43,75;33,65;54,33;-0,32;0,14;13,00;44,76;32,86;53,33;-0,32;0,16;11,00;41,90;30,48;52,38;-0,41;0,15;11,00;38,57;28,57;48,57;-0,41;0,14;11,00;37,14;27,14;48,57;-0,43;0,15;11,00;37,62;26,19;47,62;-0,38;0,14;10,00;40,00;29,52;48,10;-0,28;0,15;10,00;42,86;32,38;52,38;-0,17;0,16;10,00;47,17;38,68;54,72
Netherlands Antilles (former);ANT;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,92;0,35;1,00;80,77;60,58;91,83;0,85;0,37;1,00;77,99;57,89;90,91;0,81;0,41;1,00;72,73;55,98;90,43;0,83;0,38;1,00;75,12;57,89;89,95;0,72;0,35;2,00;71,63;58,17;87,98;0,84;0,38;2,00;74,41;59,24;90,05;0,85;0,41;1,00;75,83;60,66;90,52;0,83;0,41;1,00;75,12;59,15;90,14;0,83;0,40;1,00;75,12;59,15;90,14;0,84;0,39;1,00;76,06;59,15;90,14;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
United Arab Emirates;ARE;0,69;0,22;5,00;68,84;62,31;82,41;0,72;0,23;5,00;70,00;62,00;84,00;0,66;0,19;6,00;70,15;62,19;81,09;0,70;0,20;7,00;69,65;61,69;82,59;0,54;0,20;7,00;66,17;58,21;79,60;0,43;0,18;8,00;62,02;57,21;69,71;0,39;0,18;8,00;60,77;55,50;69,86;0,31;0,18;9,00;60,77;53,59;66,51;0,27;0,18;9,00;58,37;53,59;66,99;0,42;0,18;9,00;61,06;57,69;71,15;0,40;0,16;11,00;63,03;58,29;68,25;0,32;0,16;11,00;62,09;54,98;66,35;0,50;0,14;13,00;64,79;61,50;69,95;0,53;0,15;12,00;66,67;61,03;71,83;0,61;0,15;12,00;69,01;62,44;76,06;0,65;0,16;11,00;74,52;66,35;78,37;0,61;0,16;11,00;71,43;64,29;77,62;0,82;0,17;10,00;77,62;69,52;84,29;0,77;0,16;10,00;76,19;68,10;81,90;0,77;0,15;10,00;76,19;69,05;82,38;0,81;0,16;10,00;77,62;70,48;82,38;0,88;0,15;9,00;77,62;72,38;84,29;0,80;0,16;10,00;76,67;68,57;82,38;0,84;0,16;10,00;78,77;68,40;83,49
