"Unnamed: 0,Company,Inactive,Quoted,Branch,OwnData,Woco,Codice ISO paese,""Codice NACE Rev. 2, core code (4 cifre)"",Codice di consolidamento,Ultimo anno disp.,""Totale valore della produzione"
"migl USD"",""Numero dipendenti"
"Ultimo anno disp."""
156.0,FERTIGLOBE PLC,No,Sì,No,No,Sì,AE,2015,C1,2023,2419500.0,2721
140.0,LENZING AG,No,Sì,No,No,No,AT,2060,C2,2023,2905952.40415573,7917
88.0,ORICA LIMITED,No,Sì,No,No,Sì,AU,2059,C1,2023,5147348.85591269,12500
109.0,INCITEC PIVOT LIMITED,No,Sì,No,No,No,AU,2015,C1,2023,3910706.44650459,5814
165.0,NUFARM LTD,No,Sì,No,No,Sì,AU,2015,C1,2023,2251032.75071979,3059
11.0,WESFARMERS LIMITED,No,Sì,No,No,No,AU,2059,C1,2023,28928670.6568599,120000
1747.0,HEMIJSKA INDUSTRIJA DESTILACIJA A.D.,No,Sì,No,No,No,BA,2013,C2,2023,9972.41832315922,306
1490.0,ACI FORMULATIONS LIMITED,No,Sì,No,No,No,BD,2059,C1,2023,46795.1610746607,985
1711.0,SALVO CHEMICAL INDUSTRY LIMITED,No,Sì,No,No,No,BD,2059,C1,2023,15179.3492827937,278
1742.0,M.L. DYEING LIMITED,No,Sì,No,No,Sì,BD,2013,C1,2023,10137.7360001206,429
1783.0,MAMUN AGRO PRODUCTS LIMITED,No,Sì,No,No,No,BD,2020,C1,2023,5351.55668351799,255
1789.0,GLOBAL HEAVY CHEMICALS LIMITED,No,Sì,No,No,No,BD,2014,C1,2023,4340.89629109949,388
131.0,TESSENDERLO GROUP NV,No,Sì,No,No,No,BE,2013,C1,2023,3238977.45361328,7242
595.0,CAMPINE NV,No,Sì,No,No,Sì,BE,2059,C1,2023,357279.810342789,264
1668.0,AROMA AD,No,Sì,No,No,No,BG,2059,C2,2023,20488.1353611946,214
86.0,AXALTA COATING SYSTEMS LTD,No,Sì,No,No,No,BM,2030,C1,2023,5184100.0,12000
355.0,CHINNEY ALLIANCE GROUP LIMITED,No,Sì,No,No,Sì,BM,2016,C1,2023,766302.762421131,1830
