;Ragione socialeCaratteri latini;Codice ISO paese;Ultimo anno disp.;"Totale valore della produzione
migl USD"
1.;RELIANCE INDUSTRIES LIMITED;IN;2023;110.000.975
2.;GEOLOGY AND MINERAL RESOURCES GROUP GOLMUD SALT LAKE RESOURCE DEVELOPMENT CO., LTD.;CN;2019;100.918.653
3.;PROCTER & GAMBLE CO;US;2023;82.006.000
4.;BASF SE;DE;2023;78.135.690
5.;UNILEVER PLC;GB;2023;66.491.195
6.;LUBRIZOL SOUTH AFRICA (PTY) LTD;ZA;2008;50.278.000
7.;L'OREAL;FR;2023;45.506.683
8.;DOW CHEMICAL COMPANY (THE);US;2023;44.622.000
9.;LG CHEM LTD.;KR;2023;42.849.220
10.;RONGSHENG PETROCHEMICAL CO., LTD.;CN;2023;42.661.011
11.;SAUDI BASIC INDUSTRIES CORPORATION (SAUDI JOINT STOCK COMPANY);SA;2023;41.924.950
12.;HANWHA CORP.;KR;2023;41.208.944
13.;LYONDELLBASELL INDUSTRIES N.V.;NL;2023;41.139.000
14.;JIANGSU HENGLI CHEMICAL FIBRE CO., LTD.;CN;2022;31.831.176
15.;HENGLI PETROCHEMICAL CO.,LTD.;CN;2023;31.732.057
16.;L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE;FR;2023;30.841.116
17.;CHINA INDUSTRIAL AND AGRICULTURAL CHEMICAL CO., LTD.;CN;2021;29.032.714
18.;WESFARMERS LIMITED;AU;2023;28.928.671
19.;NOURI PETROCHEMICAL PUBLIC JOINT STOCK COMPANY;IR;2022;25.346.075
20.;WANHUA CHEMICAL GROUP CO.,LTD.;CN;2023;24.545.655
21.;HENKEL AG & CO. KGAA;DE;2023;23.898.951
22.;ZHEJIANG HENGYI GROUP CO., LTD.;CN;2022;23.589.978
23.;L. R. NORDESTE S/A;BR;2018;23.177.332
24.;SHERWIN WILLIAMS COMPANY (THE);US;2023;23.051.900
25.;INEOS INDUSTRIES LIMITED;GB;2022;22.492.552
26.;LYONDELL CHEMICAL CO;US;2006;22.228.000
27.;ZHEJIANG HENGYI PETROCHEMICALS CO., LTD.;CN;2022;21.764.998
28.;BRA MNS HOLDING PTY LIMITED;AU;2020;20.659.242
29.;FOSHAN GAO MINGFU LONGSI XINCAILIAO SCIENCE AND TECHNOLOGY CO., LTD.;CN;2020;20.027.342
30.;COLGATE PALMOLIVE CO;US;2023;19.457.000
31.;HENGYI PETROCHEMICAL CO., LTD.;CN;2023;19.070.991
32.;HEBI HESHAN DISTRICTRUICHANG CHEMICAL CO.,LTD;CN;2020;18.629.742
33.;RECKITT BENCKISER GROUP PLC;GB;2023;18.606.559
34.;ASAHI KASEI CORPORATION;JP;2023;18.412.417
35.;PPG INDUSTRIES INC;US;2023;18.246.000
36.;HUNTSMAN HOLLAND B.V.;NL;1996;18.093.832
37.;SASOL DYNO NOBEL (PTY) LTD;ZA;2013;17.966.727
38.;E. I. DU PONT DE NEMOURS AND COMPANY;US;2022;17.455.000
39.;EVONIK INDUSTRIES AG;DE;2023;17.088.833
40.;SUMITOMO CHEMICAL COMPANY LIMITED;JP;2023;16.362.499
41.;JOHNSON MATTHEY PLC;GB;2023;16.198.239
42.;SHIN-ETSU CHEMICAL COMPANY LIMITED;JP;2023;15.966.526
43.;ESTEE LAUDER COMPANIES INC. (THE);US;2023;15.937.000
44.;LOTTE CHEMICAL CORPORATION.;KR;2023;15.469.518
45.;AGRIUM INC;CA;2017;15.309.000
46.;RECKITT BENCKISER SOUTH AFRICA (PTY) LTD;ZA;2012;15.096.726
47.;BRASKEM S.A.;BR;2023;14.943.707
48.;MONSANTO CO;US;2017;14.640.000
49.;MITSUI CHEMICALS INC;JP;2022;14.110.376
50.;YUNTIANHUA GROUP CO., LTD.;CN;2022;13.818.044
51.;MOSAIC COMPANY (THE);US;2023;13.696.100
52.;DEGUSSA-HULS AG;DE;1999;13.569.859
53.;SIKA AG;CH;2023;13.378.490
54.;SASOL SOUTH AFRICA LTD;ZA;2016;12.637.848
55.;AIR PRODUCTS & CHEMICALS INC;US;2023;12.600.000
56.;WESTLAKE CORP;US;2023;12.548.000
57.;POLYMER CHEMICAL FACTORY IN NANXI DISTRICT, YIBIN CITY;CN;2017;12.483.019
58.;ZHENPING COUNTY TONGCHENG CHEMICAL CO., LTD.;CN;2020;12.358.558
59.;PARS PETROCHEMICAL COMPANY PUBLIC JOINT STOCK;IR;2022;12.347.205
