Name,Type,Sector,Country,Joined On
COSUMAR,Company,Food Producers,Morocco,05-Jul-2024
Groupe COFINA,Company,Finance and credit services,Cote d'Ivoire,04-Jul-2024
Banco Keve,Company,Banks,Angola,04-Jul-2024
Highgate Portugal,Company,Travel & Leisure,Portugal,03-Jul-2024
Frulact Serviços Partilhados S.A,Company,Food Producers,Portugal,03-Jul-2024
"CLECE, S.A. (Portugal)",Company,Diversified,Portugal,03-Jul-2024
Banco de Desenvolvimento de Angola,Company,Finance and credit services,Angola,03-Jul-2024
Mewburn Ellis LLP,Company,Diversified,United Kingdom,03-Jul-2024
Bayer Hispania SLU,Company,Pharmaceuticals & Biotechnology,Spain,03-Jul-2024
INDUSTRIA E COMERCIO DE COLCHÕES CASTOR LTDA,Company,General Industrials,Brazil,03-Jul-2024
Companhia de Seguros Previdência do Sul (CNP Seguradora),Company,Nonlife Insurance,Brazil,03-Jul-2024
CLI Sul S.A.,Company,Diversified,Brazil,03-Jul-2024
Vision Supply,Company,Diversified,Afghanistan,02-Jul-2024
ENN Energy Holdings Limited,Company,"Gas, Water & Multiutilities",China,02-Jul-2024
"Shijiazhuang King Transportation Equipment Co., Ltd. | (石家庄国祥运输设备有限公司)",Company,Industrial Transportation,China,02-Jul-2024
VPC Group Inc.,Company,Household Goods & Home Construction,Canada,02-Jul-2024
China Three Gorges International Limited,Company,Alternative Energy,China,02-Jul-2024
"BEIJING YUANLONG YATO CULTURE DISSEMINATION CO., LTD. (GROUP)",Company,Media,China,02-Jul-2024
Taragaon Regency Hotels Limited,Company,Diversified,Nepal,02-Jul-2024
"Modalfa Comércio e Serviços, SA",Company,Retailers,Portugal,02-Jul-2024
"Zhejiang Huayou Cobalt Co., Ltd.",Company,Chemicals,China,02-Jul-2024
"MOORIM PAPER Co.,Ltd",Company,General Industrials,"Korea, Republic of",02-Jul-2024
"MOORIM P&P Co.,Ltd",Company,General Industrials,"Korea, Republic of",02-Jul-2024
"Taikang Pension & Insurance Co., Ltd.",Company,Life Insurance,China,02-Jul-2024
"ZHEJIANG LEPU PHARMACEUTICAL CO., LTD.",Company,Chemicals,China,01-Jul-2024
"Senkoo (Shanghai) Brand Planning Co., Ltd | 释空（上海）品牌策划有限公司",Company,Household Goods & Home Construction,China,01-Jul-2024
"ZRP Printing Group Co., Ltd.",Company,General Industrials,China,01-Jul-2024
Dun’an Artificial Environment Co.Ltd,Company,General Industrials,China,01-Jul-2024
"Tianjin Ruixin Technology Co.,Ltd",Company,Industrial metals and mining,China,01-Jul-2024
"HEBEI JIHENG PHARMACEUTICAL CO.,LTD.",Company,Pharmaceuticals & Biotechnology,China,01-Jul-2024
"SHANXI HUADE SMELTING & CASTING CO., LTD",Company,Industrial metals and mining,China,01-Jul-2024
Grupo Porres Azúcar,Company,Food Producers,Mexico,01-Jul-2024
TQUIM TRANSPORTES LTDA,Company,Diversified,Brazil,01-Jul-2024
Demarest,Company,Diversified,Brazil,01-Jul-2024
Geni Process International,Company,Diversified,Egypt,30-Jun-2024
Atlantic ingenerie,Company,Diversified,France,30-Jun-2024
GPA,Company,Automobiles & Parts,France,30-Jun-2024
Magellan Partners,Company,Software & Computer Services,France,30-Jun-2024
JTB Corp.,Company,Travel & Leisure,Japan,28-Jun-2024
Lidl España,Company,Retailers,Spain,28-Jun-2024
Ecom Express Limited,Company,Industrial Transportation,India,28-Jun-2024
NOCIL Limited,Company,Chemicals,India,28-Jun-2024
Santa Casa BH,Company,Medical equipment and services; Health care providers,Brazil,28-Jun-2024
"TIVIT TERCEIRIZAÇÃO DE PROCESSOS, SERVIÇOS E TECNOLOGIA S.A.",Company,Software & Computer Services,Brazil,28-Jun-2024
"Nippon Koei Business Partners Co., Ltd.",Company,Diversified,Japan,28-Jun-2024
TOYOTA MATERIAL HANDLING MERCOSUR INDUSTRIA E COMERCIO DE EQUIPAMENTOS LTDA,Company,Industrial Transportation,Brazil,27-Jun-2024
"NC ""QazaqGaz"" JSC",Company,"Oil, gas, & coal",Kazakhstan,27-Jun-2024
“Birinshi Lombard” (Бірінші Ломбард) LLP,Company,Finance and credit services,Kazakhstan,27-Jun-2024
SIX Financial Information UK,Company,Software & Computer Services,United Kingdom,27-Jun-2024
Veolia North America,Company,"Gas, Water & Multiutilities",United States of America,27-Jun-2024
EOS Solutions,Company,Software & Computer Services,Italy,27-Jun-2024
CAJA HUANCAYO SA,Company,Finance and credit services,Peru,26-Jun-2024
Synechron Inc.,Company,Software & Computer Services,United States of America,26-Jun-2024
Diggia Group,Company,Diversified,Spain,26-Jun-2024
UltraCheese,Company,Food Producers,Brazil,25-Jun-2024
ECO Medi Glove Sdn. Bhd.,Company,Medical equipment and services; Health care providers,Malaysia,25-Jun-2024
Grupo Los Cerritos,Company,Food Producers,Mexico,25-Jun-2024
SOCAR Energy Georgia LLC,Company,"Gas, Water & Multiutilities",Georgia,25-Jun-2024
Alcatel-Lucent Enterprise - NL,Company,Technology Hardware & Equipment,Netherlands,25-Jun-2024
Keenos I SAS,Company,Software & Computer Services,France,24-Jun-2024
Follmann Chemie GmbH,Company,Chemicals,Germany,24-Jun-2024
A.H. Beard,Company,Household Goods & Home Construction,Australia,24-Jun-2024
Impel S.A. (Impel Group),Company,Diversified,Poland,24-Jun-2024
KERRY EAS LOGISTICS  LTD,Company,Industrial Transportation,China,24-Jun-2024
"Chugai Pharmaceutical Co., Ltd.",Company,Pharmaceuticals & Biotechnology,Japan,24-Jun-2024
BANCO SECURITY,Company,Banks,Chile,24-Jun-2024
SEGUROS DE VIDA SECURITY PREVISIÓN SA,Company,Life Insurance,Chile,24-Jun-2024
epharma PBM phygital,Company,Diversified,Brazil,21-Jun-2024
ESTANCIA SANTA CLARA,Company,Travel & Leisure,Brazil,21-Jun-2024
Bemisa,Company,Industrial metals and mining,Brazil,21-Jun-2024
CSP - Consultoria & Sistemas Ltda,Company,Software & Computer Services,Brazil,21-Jun-2024
Monument Chemical,Company,Chemicals,United States of America,19-Jun-2024
Chef Works,Company,Diversified,United States of America,19-Jun-2024
BancoEstado Microempresas,Company,Banks,Chile,19-Jun-2024
"ACCIÓ, Agència per la Competitivitat de l'Empresa",Company,Diversified,Spain,19-Jun-2024
VITRO SAB DE CV,Company,General Industrials,Mexico,18-Jun-2024
China Gas Holdings Limited（中国燃气控股有限公司）,Company,"Oil, gas, & coal",China,18-Jun-2024
"Onward Corporate Design Co.,Ltd.",Company,Personal Goods,Japan,18-Jun-2024
"ISHIHARA SANGYO KAISHA, LTD.",Company,Chemicals,Japan,18-Jun-2024
Jeronimo Martins Poland,Company,Retailers,Poland,17-Jun-2024
Santander UK plc,Company,Banks,United Kingdom,17-Jun-2024
Danske Fragtmænd A/S,Company,Industrial Transportation,Denmark,17-Jun-2024
FINANCIERE PAUL IZARET,Company,Industrial Transportation,France,17-Jun-2024
Advens,Company,Software & Computer Services,France,17-Jun-2024
SOGETREL,Company,Diversified,France,17-Jun-2024
Axplora Group,Company,Pharmaceuticals & Biotechnology,Germany,17-Jun-2024
Terra umhverfisþjónusta hf.,Company,Industrial Transportation,Iceland,17-Jun-2024
Sabio Limited,Company,Software & Computer Services,United Kingdom,17-Jun-2024
Euro Accident Livförsäkring AB,Company,Life Insurance,Sweden,17-Jun-2024
ADANEV MOBILITES,Company,Diversified,France,17-Jun-2024
